,True_Values,Mean_Prediction,Std_Prediction
10587,1,0.7654837816953659,0.05565636682870748
9189,0,0.10584611075930297,0.07292089659731567
460,1,0.4495880515873432,0.10505936484001509
1734,0,0.5191313543915749,0.025148067633172493
301,0,0.739936551451683,0.05899562082549843
2385,0,0.5006432238221169,0.06409729352133199
7698,0,0.767907817363739,0.06019839579731792
11030,1,0.7335994815826417,0.05832277262026415
11,0,0.29220428474247456,0.10799527792199777
2162,0,0.5315475463867188,0.02408060934122949
10159,0,0.5268698787689209,0.061854037300366614
3471,0,0.549947058558464,0.03140165145349834
226,0,0.08573176482692361,0.0665683069375658
9241,0,0.47357617288827897,0.04713371193348444
3189,0,0.1305706641357392,0.07247644725214723
5050,0,0.4935882270336151,0.07520416623826828
10360,0,0.6978907811641694,0.06343781903146774
1579,0,0.5810682642459869,0.03577732683595797
431,0,0.4894084510207176,0.08939886704142072
1756,0,0.6007137554883957,0.03880887228189569
6097,1,0.6600135385990142,0.05060418180998627
574,0,0.48076232433319094,0.06897182075699558
10222,0,0.6359665375947953,0.07493806702285008
9644,0,0.6819552665948868,0.06157744810936617
8825,0,0.2515765015035868,0.0853010011928881
4802,0,0.31411854742094875,0.13710439024310317
1186,0,0.3441037513315678,0.09019131821151384
9307,0,0.18565180510282517,0.09297844743278906
6060,1,0.6569863796234131,0.03937858991261322
5191,0,0.4278039614111185,0.11307738117619988
5526,0,0.6549884670972824,0.04638631719241378
4093,0,0.39301467925310135,0.08737428334203351
5252,0,0.32831536695361135,0.11195269290474393
10879,1,0.8148736888170243,0.07075843926897193
2795,0,0.34782188311219214,0.09947468014100994
7567,0,0.5272017601132393,0.07721533674287188
3884,0,0.6408624067902565,0.09308189254882486
8752,0,0.12558369604870678,0.08269346730201978
5974,0,0.4249832987785339,0.1031236007737131
5153,0,0.2440892718732357,0.10706663511122308
8299,1,0.25578548073768614,0.09771278394856077
2493,0,0.6687398016452789,0.04522344563516758
9555,0,0.7328970849514007,0.06404030419321433
9081,0,0.0984481322998181,0.07528210945082064
9924,1,0.8658345031738282,0.08209060414870477
1129,0,0.595032005906105,0.0441483322782462
11134,0,0.7868192410469055,0.062464547339753033
3502,1,0.8140464389324188,0.08014305029268098
8283,1,0.34600890666246414,0.08015970965544779
9565,0,0.6214992636442185,0.06543214544918714
9712,0,0.6423570662736893,0.06461135443354839
3103,0,0.18063080634921788,0.08194695884831953
4606,0,0.5957850551605225,0.047414846603404295
9718,1,0.5704286396503448,0.111839177584412
1033,0,0.25425065495073795,0.09512751130668502
8647,0,0.14161214182153345,0.09637629968751109
4709,0,0.1152175301592797,0.07216241665898188
8901,0,0.3646812617778778,0.0947480986641675
7966,0,0.5426615887880325,0.0385031815029955
1114,0,0.2337895968183875,0.10382266232924496
6725,1,0.6722031188011169,0.047762894629239536
6783,0,0.5231712901592255,0.03008402999574271
2450,1,0.8463349711894989,0.07423644885572783
3573,0,0.520585666000843,0.048545593158933587
10621,1,0.7697641396522522,0.06612228681706499
459,0,0.4976621690392494,0.07039418080394573
1528,0,0.5729090893268585,0.03273615885477416
9516,0,0.6194987267255783,0.05448595740805204
1184,0,0.2918618991225958,0.09121876520458064
6293,1,0.4987155693769455,0.03951912322006208
6604,0,0.6207019710540771,0.036638105639871715
4479,0,0.5463860818743705,0.06333741090917638
7227,0,0.6707160127162933,0.04654513901495164
9333,0,0.13756785970181226,0.07207489749342687
8261,0,0.32622825875878336,0.092852789520154
1497,1,0.7184353440999984,0.052517052573409974
5486,1,0.7117965891957283,0.11040182628447422
3736,0,0.612510244101286,0.11524020502759884
734,0,0.5137135192751885,0.11238707372789264
6499,0,0.7513623493909836,0.08942675065080467
10909,1,0.5694296923279762,0.0782959438197492
1581,0,0.5816660016775131,0.03778541947997378
10583,0,0.8025573635101318,0.06996023750495166
5085,1,0.16709984313696624,0.09162795999394538
222,1,0.6854759764671325,0.044919178929278485
2081,1,0.8139519900083542,0.09377088414261199
10086,0,0.6843460249900818,0.07876270882833
3565,0,0.1552138796634972,0.09143803238958383
1923,0,0.4163826709985733,0.06871565470147603
6156,0,0.6679935598373413,0.0370927960727863
6128,1,0.5017882117629051,0.04775956082312237
3993,0,0.5381558504700661,0.03512215610901742
8979,0,0.26375770196318626,0.07794493588821615
2028,0,0.6628252118825912,0.047495710386528826
1012,0,0.16268574295565486,0.10855076525122576
8221,0,0.6762314921617508,0.041006702183390725
10705,0,0.7368768852949142,0.06190775680159403
10108,0,0.6998755115270615,0.07161836128397071
4151,1,0.5766037917137146,0.042716079042055266
8347,0,0.6330524080991745,0.045260620561758454
1919,0,0.7764043968915939,0.08259099669886949
3653,0,0.31505665376782416,0.07816726566026688
10543,0,0.5108378598093987,0.061972476375028805
10229,0,0.5135831947624684,0.09111713630329261
9430,0,0.7760017824172973,0.06589710258336991
6953,0,0.5847218179702759,0.04043341883573013
11148,0,0.5663326123356819,0.05624491542365713
7618,0,0.40330993697047235,0.07646771257320742
4791,0,0.25500221371650694,0.1271923319123923
3672,0,0.5553775498270989,0.05391655721217819
11159,0,0.15838101642206312,0.09119167455036552
8710,0,0.16016621209681034,0.07785514325459739
9891,1,0.6372830581665039,0.054841582431374394
7529,0,0.5399108672142029,0.03656376171716951
6135,0,0.5508136248588562,0.040460931450249406
4850,0,0.3006272665411234,0.09993363681522556
10445,0,0.7684864246845245,0.0636746584874546
8303,0,0.40368143245577814,0.11009839456256229
7862,0,0.5255264735221863,0.03194967423629989
133,0,0.23485604155808687,0.11560345679233414
7075,0,0.5990112534165383,0.04798176396042565
6254,0,0.4415257552266121,0.06759502320104975
9321,0,0.20662431817501783,0.0886538614620918
2537,0,0.4232702435553074,0.0854580310604699
2499,0,0.28809764236211777,0.11264491343210281
8837,0,0.17482275782153012,0.09149843205292119
1039,0,0.36760894395411015,0.1334532638304871
6114,0,0.475718095600605,0.05894147680747828
2724,0,0.15958368144929408,0.08277842608813012
6054,0,0.5166691905260086,0.0430746517925465
4053,0,0.6363865798711776,0.10197860643658427
5980,0,0.6955400198698044,0.045551213111254076
5800,0,0.6192134192585945,0.08236778528911952
4497,0,0.550091752409935,0.041813817309139384
592,0,0.7116868942975998,0.07194290527451767
468,1,0.5692231819033623,0.06556339838858867
5123,0,0.5157282733917237,0.03104112734920046
1237,0,0.4702013373374939,0.05596456798541488
2220,0,0.5540003776550293,0.05053906599800772
1981,0,0.4942222911119461,0.07520930922990747
9141,1,0.6803879681229591,0.08528845219974228
4556,0,0.46981570929288863,0.0792554030649831
3933,1,0.7197600176930428,0.08532224189486766
8862,0,0.06301019307225943,0.05018599123996344
10731,0,0.8367362380027771,0.08263740754192238
3596,0,0.13233528414741158,0.07149716266252258
5275,0,0.17927337154746056,0.08521982102039383
5725,0,0.3323175646364689,0.096555182411909
3744,0,0.5309709960222244,0.035113839138984845
6502,0,0.6997656995058059,0.04428717020829828
8346,0,0.6611575371026993,0.03635136108835214
10959,0,0.546388317644596,0.04744517219925949
2790,0,0.3716564865410328,0.12164529701156096
4206,1,0.34215416297316553,0.09432517280944697
5697,0,0.6250043654441834,0.03817838640984724
10239,0,0.4195728718489409,0.11502260143794821
1876,0,0.3239734285324812,0.10399404738453608
6515,1,0.5490646651387214,0.0455677491711522
639,1,0.5959933668375015,0.038968883566654386
1359,0,0.7291514360904694,0.072172366731003
7489,0,0.6356141257286072,0.03541476722825106
11020,0,0.7395679557323456,0.056094565808390034
8950,0,0.09790146965533494,0.06946195705367611
5210,1,0.5265570411086082,0.0519604958072549
